family,file,variables,clauses,solver,result,time,rank
medium_suite,hard_3sat_v111_c0473.cnf,111,473,CoBD-SAT,SAT,1.9383,4
medium_suite,hard_3sat_v111_c0473.cnf,111,473,BB-CDCL,SAT,11.9630,5
medium_suite,hard_3sat_v111_c0473.cnf,111,473,LA-CDCL,SAT,0.4779,2
medium_suite,hard_3sat_v111_c0473.cnf,111,473,CGPM-SAT,SAT,0.0522,1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,BB-CDCL,SAT,18.1236,3
medium_suite,hard_3sat_v114_c0486.cnf,114,486,LA-CDCL,SAT,1.2913,1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,CGPM-SAT,SAT,1.7931,2
medium_suite,hard_3sat_v117_c0499.cnf,117,499,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,LA-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,CGPM-SAT,UNSAT,11.3707,1
medium_suite,hard_3sat_v120_c0512.cnf,120,512,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v120_c0512.cnf,120,512,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v120_c0512.cnf,120,512,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v120_c0512.cnf,120,512,BB-CDCL,SAT,29.3074,2
medium_suite,hard_3sat_v120_c0512.cnf,120,512,LA-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v120_c0512.cnf,120,512,CGPM-SAT,SAT,7.8127,1
medium_suite,medium_3sat_v040_c0170.cnf,40,170,DPLL,SAT,0.0184,3
medium_suite,medium_3sat_v040_c0170.cnf,40,170,CDCL,SAT,0.1509,5
medium_suite,medium_3sat_v040_c0170.cnf,40,170,CoBD-SAT,SAT,0.0234,4
medium_suite,medium_3sat_v040_c0170.cnf,40,170,BB-CDCL,SAT,2.0270,6
medium_suite,medium_3sat_v040_c0170.cnf,40,170,LA-CDCL,SAT,0.0143,1
medium_suite,medium_3sat_v040_c0170.cnf,40,170,CGPM-SAT,SAT,0.0156,2
medium_suite,medium_3sat_v042_c0178.cnf,42,178,DPLL,SAT,0.0419,2
medium_suite,medium_3sat_v042_c0178.cnf,42,178,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v042_c0178.cnf,42,178,CoBD-SAT,SAT,0.0466,3
medium_suite,medium_3sat_v042_c0178.cnf,42,178,BB-CDCL,SAT,3.9425,5
medium_suite,medium_3sat_v042_c0178.cnf,42,178,LA-CDCL,SAT,0.0706,4
medium_suite,medium_3sat_v042_c0178.cnf,42,178,CGPM-SAT,SAT,0.0123,1
medium_suite,medium_3sat_v044_c0187.cnf,44,187,DPLL,SAT,0.0059,1
medium_suite,medium_3sat_v044_c0187.cnf,44,187,CDCL,SAT,0.0155,4
medium_suite,medium_3sat_v044_c0187.cnf,44,187,CoBD-SAT,SAT,0.0103,3
medium_suite,medium_3sat_v044_c0187.cnf,44,187,BB-CDCL,SAT,0.4137,6
medium_suite,medium_3sat_v044_c0187.cnf,44,187,LA-CDCL,SAT,0.0184,5
medium_suite,medium_3sat_v044_c0187.cnf,44,187,CGPM-SAT,SAT,0.0081,2
medium_suite,medium_3sat_v046_c0195.cnf,46,195,DPLL,SAT,0.0833,3
medium_suite,medium_3sat_v046_c0195.cnf,46,195,CDCL,TIMEOUT,30.0000,-1
medium_suite,medium_3sat_v046_c0195.cnf,46,195,CoBD-SAT,SAT,0.0881,4
medium_suite,medium_3sat_v046_c0195.cnf,46,195,BB-CDCL,SAT,1.3100,5
medium_suite,medium_3sat_v046_c0195.cnf,46,195,LA-CDCL,SAT,0.0542,2
medium_suite,medium_3sat_v046_c0195.cnf,46,195,CGPM-SAT,SAT,0.0264,1
medium_suite,medium_3sat_v048_c0204.cnf,48,204,DPLL,SAT,0.0762,1
medium_suite,medium_3sat_v048_c0204.cnf,48,204,CDCL,SAT,1.8855,5
medium_suite,medium_3sat_v048_c0204.cnf,48,204,CoBD-SAT,SAT,0.0873,2
medium_suite,medium_3sat_v048_c0204.cnf,48,204,BB-CDCL,SAT,5.2885,6
medium_suite,medium_3sat_v048_c0204.cnf,48,204,LA-CDCL,SAT,0.1415,4
